"Code","Name"
"2838.TW","聯邦銀行"
"8937.TWO","合騏"
"9940.TW","信義"
"1714.TW","和桐化學"
"4702.TWO","中美實"
"4745.TWO","F-合富"
"9960.TWO","邁達康"
"3372.TWO","典範"
"3630.TWO","新鉅"
"1609.TW","大亞電纜"
"2729.TWO","瓦城"
"3291.TWO","遠翔"
"6210.TWO","慶生"
"2478.TW","大毅"
"9917.TW","中保"
"5324.TWO","士林"
"3259.TWO","鑫創"
"6125.TWO","廣運"
"2317.TW","鴻海"
"911613.TWO","特藝"
"8105.TW","凌巨"
"1513.TW","中興電工"
"3609.TWO","東林"
"2063.TWO","世鎧"
"1337.TW","F-再生"
"8109.TWO","博大"
"1467.TW","南緯"
"3025.TW","星通"
"2359.TW","所羅門"
"4139.TWO","F-馬光"
"4102.TWO","永日"
"4739.TWO","康普"
"911622.TW","泰聚亨"
"2548.TW","華固"
"8064.TWO","東捷"
"1503.TW","士林電機"
"2454.TW","聯發科"
"5525.TW","順天"
"3285.TWO","微端"
"3315.TW","宣昶"
"3090.TW","日電貿"
"1455.TW","集盛"
"3591.TW","艾笛森"
"8099.TWO","大世科"
"8358.TWO","金居"
"3623.TWO","富晶通"
"2419.TW","仲琦"
"0081.TW","恒香港"
"9942.TW","茂順"
"8291.TWO","尚茂"
"1724.TW","台硝"
"3587.TWO","閎康"
"3697.TW","F-晨星"
